Mach,Alpha,CD,CD Power-Off,CD Power-On,CA Power-Off,CA Power-On,CL,CN,CN Potential,CN Viscous,CNalpha (0 to 4 deg) (per rad),CP,CP (0 to 4 deg),Reynolds Number
12.11,2,0.3071870974483283874793319654,0.309694865396995,0.309694865396995,0.307561699869771,0.307561699869771,0.0557173588912981,0.0664916123153981161935475579,0.0656145633335941251935475579,0.000877048981803991,2.0258942751630050777500403227,567.21300748147199434041203039,576.01884610022605703448971903,8604595000
12.12,2,0.3071691419983145063449428280,0.309676980171428,0.309676980171428,0.307543722523802,0.307543722523802,0.0557203106702059,0.0664939381107911927997159522,0.0656101197876498297997159522,0.000883818323141363,2.0257115010072397350080727298,567.2112257971254538795331,575.99982057902160737340273204,8611701000
12.13,2,0.3071512215083256124160114506,0.309659130188456,0.309659130188456,0.30752578018049,0.30752578018049,0.0557232687090691,0.0664962713922751944688803021,0.0656056837277964584688803021,0.000890587664478736,2.0255290369513690554541875471,567.20944354673126904239449327,575.98079659058584567321612572,8618806000
12.14,2,0.3071333323791457162952795859,0.309641311859179,0.309641311859179,0.30750786923623,0.30750786923623,0.0557262334918682,0.0664986125182848985152706753,0.0656012555124687925152706753,0.000897357005816106,2.0253468931589288824540053522,567.20766074321277598230895149,575.96177410404443676945555821,8625912000
12.15,2,0.3071153773816855488948611218,0.309623427858878,0.309623427858878,0.307489892343366,0.307489892343366,0.0557292073746742,0.0665009604468722668186580097,0.0655968340997187878186580097,0.000904126347153479,2.0251650396754465565602398797,567.20597714109178111176411567,575.94284709079685803309882207,8633016000
12.16,2,0.3070975545722010931162964103,0.309605676400898,0.309605676400898,0.307472047799676,0.307472047799676,0.0557321844782971,0.0665033162199748196545403455,0.0655924205314839676545403455,0.000910895688490852,2.0249835062453734183256048678,567.20429295266969573363935624,575.92392157442047709653188351,8640122000
12.17,2,0.3070797650198464205693703328,0.309587958457724,0.309587958457724,0.307454236553671,0.307454236553671,0.0557351672182717,0.0665056787956454558711432017,0.0655880137658172338711432017,0.000917665029828222,2.0248022629142596111157208926,567.20260842896934995246279667,575.90499792098215602113991857,8647227000
12.18,2,0.3070620078272766569271788595,0.309570273167829,0.309570273167829,0.307436457706912,0.307436457706912,0.0557381566672553,0.0665080492158211881265060280,0.0655836148446555931265060280,0.000924434371165595,2.0246213394265388106919062517,567.20102277934703865423879916,575.88616936655317420914756914,8654333000
12.19,2,0.3070442837651418622879151255,0.30955262127848,0.30955262127848,0.30741871203099,0.30741871203099,0.0557411521152285,0.0665104267969942299484810923,0.0655792230844912629484810923,0.000931203712502967,2.0244407160962968900025723997,567.19943678036047510935101167,575.86734264351754483502166132,8661437000
12.20,2,0.3070265910392060174428585781,0.309535000993182,0.309535000993182,0.30740099772948,0.30740099772948,0.0557441535915826,0.0665128115058414412797366423,0.0655748384520011012797366423,0.00093797305384034,2.0242603918640333248090376354,567.19785011325086798835548421,575.84851745706538011930167216,8668543000
